type,term,BT,haslinghuis,wal,wikipedia,,definitie
object,vuurtest,huishoudelijke gereedschappen,,,https://nl.wikipedia.org/wiki/Test_(kom),,
object,waterreservoir,huishoudelijke gereedschappen,,,,,
object,aslade,kachelonderdelen,,,,,
object,bodem,kachelonderdelen,,,,,
materiaal,ellebogen,kachelonderdelen,,wal p. 359,,,
object,elleboog,kachelonderdelen,,wal p. 359,,,
object,kachel,kachelonderdelen,,,,,
object,kachelkap,kachelonderdelen,,,,,
object,kachelpijp,kachelonderdelen,,wal p. 357,,,
materiaal,kachelpijpen,kachelonderdelen,,wal p. 357,,,
materiaal,kachels,kachelonderdelen,,,,,
object,pijp,kachelonderdelen,,wal p. 357,,,
materiaal,pijpen,kachelonderdelen,,wal p. 357,,,
object,pot,kachelonderdelen,,wal p. 374-385,,,
materiaal,potten,kachelonderdelen,,,,,
object,rooster,kachelonderdelen,,,,,
materiaal,roosters,kachelonderdelen,,,,,
materiaal,schudroosters,kachelonderdelen,,,,,
object,ketting,kettingen,,,,,
materiaal,kettingen,kettingen,,wal p. 134-135,,,
materiaal,rollerkettingen,kettingen,,,,,
materiaal,draaiwalten,kettingonderdelen,,wal p. 130-132,,,
object,schakel,kettingonderdelen,,wal p. 134-135,,,
materiaal,schakels,kettingonderdelen,,wal p. 134-135,,,
object,halshout,landbouwwerktuigen,,,,,"haam, klaaf"
materiaal,halshouten,landbouwwerktuigen,,,,,"haam, klaaf"
object,karn,landbouwwerktuigen,,,,,
object,karnmolen,landbouwwerktuigen,,,,,
object,karnpols,landbouwwerktuigen,,,,,
object,karnvorm,landbouwwerktuigen,,,,,
object,kruiwagen,landbouwwerktuigen,,,,renaud p. 542-615,
object,ladder,landbouwwerktuigen,,,,,
object,ploeg,landbouwwerktuigen,,,,,
object,touwknuppel,landbouwwerktuigen,,,,,
materiaal,vorken,landbouwwerktuigen,,,,,
materiaal,zeisbomen,landbouwwerktuigen,,,,,
object,zeisboom,landbouwwerktuigen,,,,,
object,bergronsel,machineonderdelen,,,,,
object,ronsel,machineonderdelen,,,,,
object,tandwiel,machineonderdelen,,,,,
object,vliegwiel,machineonderdelen,,,,,
materiaal,zuigerstangen,machineonderdelen,,,,,
object,balie,meubels,,,,,
object,bank,meubels,,,,,
object,ledikant,meubels,,,,,
object,paraplustandaard,meubels,,,,,
object,ruststoel,meubels,,,,,
object,stoel,meubels,,,,,
object,zitbank,meubels,,,,,
object,motor,motor,,,,,
object,trom,muziekinstrumenten,,,,,
object,hit,paard,,,,,
object,paard,paard,,,,,
object,ras,paard,,,,,
object,kipveer,ploegonderdelen,,,,,
materiaal,kipveren,ploegonderdelen,,,,,
object,langijzer,ploegonderdelen,,,,,
object,oord,ploegonderdelen,,,,,
object,ploegmes,ploegonderdelen,,,,,
object,voord,ploegonderdelen,,,,,
object,aaltenbak,verpakkingsmiddelen,,,,,"afgesloten houten of metalen bak, waarin gier naar het land gebracht wordt"
object,broodbak,verpakkingsmiddelen,,,,,
object,melkvat,verpakkingsmiddelen,,,,,
object,ton,verpakkingsmiddelen,,,,,
object,trog,verpakkingsmiddelen,,,,,
object,turfbak,verpakkingsmiddelen,,,,,
object,vat,verpakkingsmiddelen,,,,,
object,vleeschkuip,verpakkingsmiddelen,,,,,
object,cusjonwagen,voertuigen,,,https://nl.wikipedia.org/wiki/Massieve_band,,Wagen met Cushion banden ? https://geheugen.delpher.nl/nl/geheugen/view?coll=ngvn&identifier=SFA03%3ASFA022808301
object,dogcar,voertuigen,,,,"renaud p. 496-499, 641",
object,fiets,voertuigen,,,,,
object,hondekar,voertuigen,,,,"renaud p. 520-533, 642",
object,kar,voertuigen,,,,renaud p. 642,
object,kinderwagen,voertuigen,,,,,
object,langwagen,voertuigen,,,,renaud p. 643 (Langboom),
object,oliewagentje,voertuigen,,,,,
object,rijwiel,voertuigen,,,,,
object,sleepkar,voertuigen,,,,renaud p. 354-355,
object,sportkar,voertuigen,,,,,jongenshandkarretje op hoge wielen.
object,tilbury,voertuigen,,,,"renaud p. 492-495, 644",
object,wagen,voertuigen,,,,renaud p. 644,
object,inspan,voertuigonderdelen,,,,renaud p. 642 (Lamoen),
object,as,voertuigonderdelen,,,,renaud p. 641,
materiaal,assen,voertuigonderdelen,,,,renaud p. 641,
materiaal,branders,voertuigonderdelen,,,,,
materiaal,carbid,voertuigonderdelen,,,,,
object,kamrad,voertuigonderdelen,,,,,
object,kap,voertuigonderdelen,,,,,
object,klein rad,voertuigonderdelen,,,,,
object,lamp,voertuigonderdelen,,,,,
materiaal,lamphaken,voertuigonderdelen,,,,,
object,lantaarn,voertuigonderdelen,,,,,
materiaal,lantaarnhaken,voertuigonderdelen,,,,,
object,lantaarnkoker,voertuigonderdelen,,,,,
object,lid,voertuigonderdelen,,,,,
materiaal,lunsen,voertuigonderdelen,,wal p. 122-124,,renaud p. 643,
object,middenas,voertuigonderdelen,,,,,
object,rad,voertuigonderdelen,,,,,
object,rugleuning,voertuigonderdelen,,,,,
object,scheide,voertuigonderdelen,,,,renaud p. 643 (schei),
object,steun,voertuigonderdelen,,,,,
object,tree,voertuigonderdelen,,,,,
object,voorhoepel,voertuigonderdelen,,,,,
object,voorwagen,voertuigonderdelen,,,,,
object,voorwiel,voertuigonderdelen,,,,,
object,wagenrong,voertuigonderdelen,,,,,
materiaal,wielen,voertuigonderdelen,,,,,
object,wiphout,voertuigonderdelen,,,,,
object,achterhek,,,,,,
object,achterkeer,,,,,,
materiaal,appelkekjes,,,,,,
object,band,,,,,,
materiaal,banden,,,,,,
materiaal,bandijzer,,,wal p. 37,,,
object,beugel,,,,,,
object,blok,,,,,,
object,bout,,,wal p. 128-130,,,
materiaal,bouten,,,wal p. 128-130,,,
materiaal,bussen,,,,,,
object,deksel,,,,,,
materiaal,deksels,,,,,,
object,dolhuis,,,,,,
object,dolkast,,,,,,
materiaal,dolpennen,,,,,,
materiaal,dopkasten,,,,,,
materiaal,doppen,,,,,,
object,draaier,,,,,,
materiaal,driebeentjes,,,,,,
object,driehout,,,,,,
object,gaten,,,,,,
object,haak,,,,,,
object,haal,,,,,,
object,hak,,,,,,
materiaal,haken,,,,,,
object,haken,,,,,,
materiaal,hakken,,,,,,
object,halve maan,,,,,,
object,handvat,,,,,,
materiaal,handvatten,,,,,,
materiaal,heften,,,,,,
object,hoekijzer,,,,,,
object,hoepel,,,,,,
materiaal,hoepels,,,,,,
materiaal,houtschroeven,,,,,,
materiaal,kappen,,,,,,
materiaal,kistkrammen,,,,,,
materiaal,klampen,,,,,,
object,klinknagel,,,,,,
materiaal,klinknagels,,,,,,
materiaal,klosjes,,,,,,
object,kop,,,,,,
materiaal,krabbers,,,,,,
object,kram,,,,,,
materiaal,krammen,,,wal p. 113-114,,,
object,kruk,,,,,,
materiaal,krulsmoeren,,,wal p. 132-134,,,
materiaal,lades,,,,,,
materiaal,lipjes,,,,,,
object,moer,,,,,,
materiaal,moeren,,,,,,
materiaal,nagels,,,,,,
materiaal,navenbandijzers,voertuigonderdelen,,,,renaud p. 643 (naafband),
materiaal,neuzen,,,,,,
object,nippel,,,,,,
materiaal,nippels,,,,,,
materiaal,ogen,,,wal p. 146-147,,,
object,oog,,,,,,
materiaal,oren,,,,,,
materiaal,ornamenten,,,,,,
object,oven,,,,,,
object,overval,,,,,,
object,paal,,,,,,
materiaal,paardjeskrammen,,,,,,
materiaal,pennen,,,,,,
object,plaat,,,,,,
materiaal,platen,,,,,,
materiaal,poten,,,,,,
object,punt,,,,,,
materiaal,punten,,,,,,
object,ring,,,,,,
materiaal,ringen,,,wal p. 125-128,,,
object,roei,,,,,,
materiaal,roeien,,,,,,
object,schamelbout,voertuigonderdelen,,,,renaud p. 643,
materiaal,schijven,,,wal p. 125-128,,,
object,schroef,,,,,,
materiaal,schroeven,,,,,,
materiaal,schuiven,,,,,,
materiaal,slijtijzer,,,,,,
materiaal,slijtijzers,,,,,,
materiaal,sluitingen,,,,,,
materiaal,sluitplaten,,,,,,
materiaal,spijkers,,,,,,
object,spil,,,,,,
materiaal,spillen,,,,,,
materiaal,spleetveren,,,,,,
materiaal,splitveren,,,,,,
materiaal,staal,,,,,,
object,standerd,,,,,,
object,stang,,,,,,
materiaal,stangen,,,,,,
object,steel,,,,,,
object,stel,,,,,,
object,strop,,haslinghuis [anker],wal p. 204-205,,,
materiaal,stroppen,,haslinghuis [anker],wal p. 204-205,,,
materiaal,stukken,,,,,,
materiaal,trechters,,,,,,
object,val,,,,,,
materiaal,vallen,,,,,,
object,veer,,,,,,
materiaal,veren,,,,,,
materiaal,vleugelmoeren,,,wal p. 132-134,,,
materiaal,voeringen,,,,,,
materiaal,winkelhaken,,,,,,
object,zakring,,,,,,
materiaal,zakringen,,,,,,
object,zandbakje,verpakkingsmiddelen,,,,,
